review_id,listing_id,number_of_reviews,review_scores_rating
1,979584324955463360,22,4.59
2,1137290659996617307,1,3.0
3,4958315,0,
4,1434041823901005937,0,
5,21808515,0,
6,42338944,0,
7,1133760293330617460,1,3.0
8,1315707805800613183,0,
9,1397635118992096473,0,
10,1171440955802593485,22,4.77
11,951274266434691774,2,5.0
12,1339295218359882314,0,
13,1089750681178299365,0,
14,40504139,21,4.86
15,13945370,0,
16,1478240381904752890,0,
17,1586690698871448690,0,
18,1002424188255346466,5,5.0
19,1205715571627884054,0,
20,834018549505240363,2,1.0
21,1367446765233276906,0,
22,1519261399728812558,2,3.0
23,18982516,5,4.8
24,1599822230898911545,0,
25,1013509264269749581,0,
26,41439202,66,4.88
27,8765558,0,
28,1708336764218692357,0,
29,1700079374360527531,0,
30,1696119640274200524,0,
31,1599795541181397392,1,5.0
32,1144487813295137012,103,4.98
33,1245631960242985621,0,
34,729368995903862687,0,
35,1105816668065171912,2,5.0
36,1678125740024703401,0,
37,1288400617670234344,0,
38,40799120,32,4.91
39,32273776,0,
40,1705665175529966902,0,
41,37134345,36,4.58
42,42978873,0,
43,1328224541044613425,92,4.48
44,1232567411286478524,7,5.0
45,1670840163414237392,1,5.0
46,1238217090677781102,2,4.5
47,41924815,4,4.5
48,8287542,0,
49,1132186098814411371,0,
50,35343600,0,
51,1654059339935406731,0,
52,1276556340229746961,0,
53,928819727239618091,4,5.0
54,1529562314101526530,6,4.83
55,15539897,7,4.86
56,1556273175449098043,0,
57,8132965,0,
58,40849236,1,5.0
59,1169194360205548977,1,5.0
60,716948075292779634,1,5.0
61,36961938,0,
62,1572562889984985590,9,5.0
63,1057265452424145140,0,
64,1372528215317759698,0,
65,843222000085271620,7,4.71
66,770036618062664380,11,5.0
67,1435917060040169796,0,
68,1050463721663781219,0,
69,1627614098121186026,0,
70,1634566803212764249,0,
71,1697291562739019413,0,
72,1545505324101062254,5,4.8
73,1673700878417919672,0,
74,1649332237730332089,0,
75,21177746,361,4.78
76,970371372369804688,35,4.71
77,1338177587983604112,2,5.0
78,1512900326807463684,0,
79,566364418184313097,18,4.78
80,1479565943433594448,1,4.0
81,794851048148052208,5,3.4
82,1683198275767209209,0,
83,30897382,2,4.5
84,840092163291241063,15,4.87
85,1438086649148961059,3,5.0
86,715794909433734052,9,4.67
87,1092524848592068602,3,5.0
88,1266610701986574702,1,5.0
89,1545668796651449713,2,5.0
90,1647674169331556005,0,
91,16378514,10,4.8
92,53960529,149,4.85
93,1217122750479400651,1,5.0
94,1662045820060818513,0,
95,12035464,0,
96,1128173124842333048,0,
97,1597655199444738890,0,
98,1354694231375489087,3,5.0
99,31030039,0,
100,1675189705485756670,1,5.0
101,1528765935395091167,0,
102,1429497385833668611,0,
103,931741017197922418,0,
104,1560018081898450746,0,
105,1552171431961791359,2,5.0
106,1137358276328584467,3,5.0
107,23835175,81,4.83
108,1596481763997218825,17,4.94
109,1688430001520839496,0,
110,1581533106322173553,0,
111,1593711056918539660,0,
112,1362833809227744504,0,
113,735236097943535169,17,4.65
114,1520084024749260743,0,
115,1082081354486302712,1,5.0
116,902675895377070408,0,
117,917945074763070443,0,
118,32679720,1,5.0
119,1180337701703062097,7,4.71
120,1426601981061170435,0,
121,42396648,0,
122,1094836759259564096,0,
123,1589694568459701449,0,
124,1324630221187977109,1,3.0
125,818015174098219615,7,5.0
126,44205569,13,4.54
127,1054159202804762754,6,4.17
128,32503388,0,
129,1576683661149528321,4,5.0
130,1376927619618302127,0,
131,1298272481910705431,0,
132,1576592526667823278,18,4.39
133,1577428686319705482,8,4.88
134,41244830,3,4.67
135,1215086374777388810,0,
136,896758059996200393,5,5.0
137,25172185,18,4.67
138,1578253877432426652,2,4.5
139,1675203654266156841,2,5.0
140,890562641880086928,47,4.89
141,1690803708035493872,0,
142,1228172238117044755,31,4.97
143,1403695632912945555,4,4.25
144,1413741061381344555,0,
145,1556482751942049856,0,
146,1285368004235235392,0,
147,1689283926904191930,0,
148,788826798381198434,3,3.67
149,1244678999243901395,5,5.0
150,1441738729790290871,0,
151,1379554175722068883,0,
152,1374344100713962975,14,4.64
153,26466843,32,4.47
154,1276563280031567651,0,
155,983055696780455923,9,4.67
156,1614293183029723089,19,5.0
157,1622159824323566179,3,5.0
158,1460594525330833544,4,5.0
159,1627686954264681192,7,4.86
160,1363876995725869319,0,
161,583285548081862470,0,
162,1580981075386775961,0,
163,958777218824893435,0,
164,894712645459065443,0,
165,990953814309561170,51,4.75
166,1319712005838871506,0,
167,1329209125812121446,0,
168,1146769408009938424,0,
169,1215531043136178780,60,4.73
170,643954796060369240,0,
171,1231643097801738016,0,
172,1466679657164299166,0,
173,1327452069042535802,0,
174,1305711807384537529,0,
175,965597566072050695,0,
176,1678087038579158170,0,
177,1679687371634869826,0,
178,854799203414187824,2,4.5
179,1149929146169568945,2,5.0
180,1341114,0,
181,1630530667336203172,0,
182,943018371677719482,1,5.0
183,36882824,9,4.67
184,1582308326799100661,2,5.0
185,761453134688455629,12,4.83
186,1217391942357016155,1,5.0
187,1367237388299786477,0,
188,1039940940624353682,64,4.81
189,27935809,24,4.5
190,12380261,496,4.79
191,1347620198333447084,7,5.0
192,1501460030529537126,2,4.5
193,20272933,0,
